,coaster_name,Location,Status,Manufacturer,Model,Lift/launch system,Trains,Designer,year_introduced,latitude,longitude,track_type,opening_date_clean,speed_mph,height_ft,Inversions_clean,Gforce_clean,Length_ft,Height_restriction_in,Cost_USD,Acceleration_clean,Max_vertical_angle,Duration_seconds,Capacity_riders_per_hour,Drop_ft
27,Wild Cat (Hersheypark),Hersheypark,Removed,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,3 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,Herbert Schmeck,1923,40.2882,-76.6535,Wood,1923-06-16,49.7,91.9,0,4.0,2331.0,48.0,50.0,9.1,65.0,105.0,1080,75.0
28,The Bobs (roller coaster),Riverview Park,Removed,Prior and Church,Unknown,Chain lift hill,Unknown,Fred Church,1924,41.9407,-87.6924,Wood,1924-01-01,50.0,91.9,0,4.0,3235.0,48.0,8540000.0,9.1,65.0,105.0,1080,59.58
29,Giant Dipper,Santa Cruz Beach Boardwalk,Operating,Arthur Looff,Unknown,Chain lift hill,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,"Frank Prior, Frederick Church",1924,36.9647,-122.0153,Wood,1924-05-17,55.0,91.9,0,4.0,2640.0,50.0,50.0,9.1,65.0,112.0,1080,65.0
32,Thunderhawk (Dorney Park),Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Herbert Paul Schmeck,1924,40.5798,-75.5355,Wood,1924-03-30,45.0,91.9,0,4.0,2767.0,48.0,8540000.0,9.1,45.0,78.0,1080,65.0
34,Cyclone (Revere Beach),Revere Beach,Removed,Traver Engineering,Unknown,Unknown,Unknown,Frederick Church,1925,42.42,-70.986,Wood,1925-01-01,45.0,91.9,0,4.0,3600.0,48.0,125.0,9.1,65.0,105.0,1400,92.0
35,Giant Dipper (Belmont Park),Other,Operating,"Frank Prior, Fredrick Church",Twister,Chain lift hill,Unknown,"Frank Prior, Fredrick Church",1925,40.2864,-76.6531,Wood,1925-07-04,48.0,91.9,0,4.0,2600.0,50.0,8540000.0,9.1,40.0,105.0,1080,60.0
36,Jazz Railway,Rocky Glen Park,Removed,Traver Engineering,Unknown,Chain-lift,3 cars. Riders are arranged 2 across in a single row for a total of 6 riders per train.,Harry G. Traver,1925,41.3533,-75.7059,Wood,1925-01-01,49.7,91.9,0,4.0,1200.0,48.0,20.0,9.1,65.0,90.0,1080,92.0
38,Thunderbolt (Savin Rock),Savin Rock,Removed,Traver Engineering,Unknown,Unknown,Unknown,Frank Prior and Frederick Church,1925,41.257,-72.95,Wood,1925-05-05,49.7,91.9,0,4.0,5000.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
39,Crystal Beach Cyclone,Crystal Beach Park,Removed,Traver Engineering,Unknown,Chain-lift,Unknown,Harry G. Traver,1926,42.8617,-79.0598,Wood,1926-01-01,60.0,91.9,0,4.0,2953.0,48.0,128.48,9.1,59.0,70.0,85,90.0
40,Sesquicentennial Cyclone,Sesquicentennial Exposition,Removed,Traver Engineering,Unknown,Unknown,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Harry G. Traver,1926,39.9087,-75.1733,Wood,1926-05-31,49.7,91.9,0,4.0,2000.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
43,Crystal Beach Cyclone,Crystal Beach Park,Removed,Traver Engineering,Unknown,Chain-lift,Unknown,Harry G. Traver,1927,42.8617,-79.0598,Wood,1926-01-01,60.0,91.9,0,4.0,2953.0,48.0,128.48,9.1,59.0,70.0,85,90.0
44,Cyclone (Palisades Amusement Park),Palisades Amusement Park,Removed,Traver Engineering,Giant Cyclone Safety Coaster,Unknown,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Harry G. Traver,1927,40.8281,-73.9778,Wood,1927-09-10,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
45,Lightning (Revere Beach),Revere Beach,Removed,Traver Engineering,Giant Cyclone Safety Coaster,Unknown,Unknown,Harry G. Traver,1927,42.42,-70.986,Wood,1927-07-02,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
46,Racer (Kennywood),Kennywood,Operating,Charlie Mach,Racing,Chain lift,4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,John A. Miller,1927,40.3869,-79.8619,Wood,1927-01-01,40.0,91.9,0,4.0,4500.0,46.0,75.0,9.1,65.0,92.0,1400,50.0
47,Wildcat (Lake Compounce),Lake Compounce,Operating,Philadelphia Toboggan Coasters,Unknown,Chain Lift Hill,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,Herbert Paul Schmeck and Dinn Corporation,1927,41.6408,-72.9231,Wood,1927-01-01,48.0,91.9,0,4.0,2746.0,48.0,8540000.0,9.1,65.0,75.0,1080,78.0
48,Zip (roller coaster),Oaks Amusement Park,Removed,Traver Engineering,Unknown,Unknown,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,Harry G. Traver,1927,45.473,-122.6606,Wood,1927-01-01,49.7,91.9,0,4.0,2500.0,48.0,8540000.0,9.1,65.0,90.0,1080,92.0
49,Airplane Coaster,Playland,Removed,Frank W. Darling,Unknown,Unknown,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Frederick Church,1928,40.9658,-73.6739,Wood,1928-05-26,40.0,91.9,0,4.0,3500.0,48.0,200.0,9.1,65.0,105.0,1080,92.0
53,Yankee Cannonball,Canobie Lake Park,Operating,Philadelphia Toboggan Coasters,Unknown,Chainlift,Unknown,Herbert Paul Schmeck,1930,42.7953,-71.2492,Wood,1930-01-01,35.0,65.0,0,4.0,2000.0,48.0,8540000.0,9.1,65.0,105.0,1080,64.0
60,Derby Racer,Revere Beach,Removed,Fred W. Pearce,Unknown,Unknown,Unknown,Unknown,1937,42.42,-70.986,Wood,1911-01-01,49.7,91.9,0,4.0,2300.0,48.0,140.0,9.1,65.0,105.0,1080,92.0
62,Rollo Coaster,Idlewild and Soak Zone,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift,Unknown,Herbert Paul Schmeck,1938,40.2602,-79.2814,Wood,1938-01-01,25.0,91.9,0,4.0,900.0,42.0,8540000.0,9.1,65.0,75.0,1080,25.0
64,Flyer Comet (Whalom Park),Whalom Park,Removed,National Amusement Devices,Unknown,Unknown,Unknown,Vernon Keenan,1940,42.5762,-71.746,Wood,1940-01-01,40.0,91.9,0,4.0,2640.0,48.0,8540000.0,9.1,65.0,110.0,1080,92.0
65,Giant Skyrocket,Other,Unknown,Lake Contrary Amusement Park,Unknown,Unknown,Unknown,Audley Ingersoll,1941,40.2864,-76.6531,Wood,Unknown,49.7,91.9,0,4.0,6600.0,48.0,75.0,9.1,65.0,105.0,1080,90.0
66,Thunderbolt (Six Flags New England),Six Flags New England,Operating,Joseph E. Drambour,Unknown,Unknown,Unknown,"Harry C. Baker, Harry G Traver",1941,42.0389,-72.6133,Wood,1941-01-01,40.0,91.9,0,4.0,2600.0,48.0,8540000.0,9.1,65.0,60.0,1080,92.0
67,Comet (Hersheypark),Hersheypark,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,Unknown,Herbert Paul Schmeck,1946,40.2864,-76.6556,Wood,1946-01-01,50.0,91.9,0,4.0,3360.0,42.0,8540000.0,9.1,47.0,105.0,950,78.0
68,Comet (Lincoln Park),Lincoln Park,Removed,National Amusement Devices,Unknown,Chain lift,Unknown,"Edward Leis, Vernon Keenan",1946,41.6362,-71.0432,Wood,1946-10-01,55.0,91.9,0,4.0,3000.0,48.0,8540000.0,9.1,65.0,130.0,1080,92.0
69,Little Dipper (Conneaut Lake Park),Conneaut Lake Park,Operating,Allan Herschell Company,Little Dipper,Chain lift hill,Unknown,Unknown,1950,41.6343,-80.3165,Steel,1950-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
70,Little Dipper (Six Flags Great America),Other,Unknown,Philadelphia Toboggan Coasters,Junior Coaster,Chain lift hill,Single train with 4 cars. Riders are arranged 2 across in 2 rows for a total of 16 riders per train.,Herbert Schmeck,1950,40.2864,-76.6531,Wood,Unknown,25.0,91.9,0,4.0,700.0,48.0,8540000.0,9.1,65.0,50.0,1080,24.0
72,Comet (Waldameer),Waldameer Park,Operating,Philadelphia Toboggan Coasters,Unknown,Chain,Unknown,Herbert Paul Schmeck,1951,42.1077,-80.1568,Wood,1951-01-01,25.0,91.9,0,4.0,1300.0,46.0,8540000.0,9.1,65.0,84.0,1080,25.0
73,Vuoristorata,Linnanmäki,Operating,"Linnanmäki, led by Svend Jarlström",Unknown,Cable lift hill,"4 trains with 4 cars. Riders are arranged 2 across in 3 rows, except for the brakeman's car at the back in 2 rows, for a total of 22 riders per train.",Valdemar Lebech[3],1951,60.1886,24.9417,Wood,1951-07-13,37.3,78.7,0,4.0,3150.0,7.0,24810000.0,9.1,65.0,135.0,1320,92.0
74,Little Dipper (Memphis Kiddie Park),Memphis Kiddie Park,Operating,Allan Herschell Company,Little Dipper,Chain lift hill,Unknown,The Allan Herschell Company,1952,41.4405,-81.7577,Steel,1952-04-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
76,Sea Dragon (roller coaster),Rides At Adventure Cove,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,Unknown,John C. Allen,1956,40.1544,-83.1203,Wood,1956-01-01,25.0,91.9,0,4.0,1320.0,42.0,8540000.0,9.1,45.0,90.0,640,92.0
77,Big Dipper (Camden Park),Camden Park,Operating,National Amusement Devices,Unknown,Unknown,Unknown,Unknown,1958,40.2864,-76.6531,Other,1958-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,100.0,1080,92.0
78,Wild Mouse (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Removed,Blackpool Pleasure Beach,Unknown,Unknown,Unknown,Frank Wright,1958,53.7913,-3.0561,Wood,1958-01-01,35.0,91.9,0,1.8,1266.0,52.0,8540000.0,9.1,65.0,90.0,1080,92.0
80,Matterhorn Bobsleds,Other,Operating,Arrow Development,Special Coaster Systems,Chain lift hill,20 trains with 2 cars. Riders are arranged 1 across in 3 rows for a total of 6 riders per train.,WED Enterprises,1959,40.2864,-76.6531,Steel,1959-06-14,27.0,91.9,0,4.0,2037.0,42.0,8540000.0,9.1,65.0,127.0,1080,92.0
82,Blue Streak (Cedar Point),Cedar Point,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Frank F. HooverJohn C. Allen,1964,41.4799,-82.6826,Wood,1964-05-23,40.0,91.9,0,4.0,2558.0,48.0,200.0,9.1,45.0,105.0,1400,72.0
83,Jetstream (roller coaster),Riverview Park,Removed,Philadelphia Toboggan Coasters,Unknown,Unknown,Unknown,John C. Allen,1964,41.9418,-87.6907,Wood,1964-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
84,Montaña Rusa (La Feria Chapultepec Mágico),La Feria Chapultepec Mágico,Removed,National Amusement Devices,Unknown,Unknown,Unknown,"Aurel Vaszin, Edward Leis",1964,19.4164,-99.1956,Wood,1964-10-22,49.7,91.9,0,4.0,4000.0,48.0,8540000.0,9.1,65.0,105.0,1080,80.0
85,Giant Coaster (Fuji-Q Highland),Fuji-Q Highland,Removed,Sansei Technologies,Unknown,Chain lift hill,Unknown,Unknown,1966,35.487,138.78,Steel,1966-01-01,49.7,131.2,0,4.0,4698.0,48.0,8540000.0,9.1,65.0,200.0,1080,92.0
86,Runaway Mine Train (Six Flags Over Texas),Six Flags Over Texas,Operating,Arrow Development,Mine Train,Chain,Unknown,Unknown,1966,32.7585,-97.0685,Steel,1966-07-23,35.0,91.9,0,4.0,2400.0,42.0,1000000.0,9.1,65.0,190.0,2010,92.0
87,Swamp Fox (roller coaster),Family Kingdom Amusement Park,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,Unknown,John Allen,1966,33.6825,-78.8917,Wood,1966-01-01,50.0,91.9,0,4.0,2400.0,48.0,8540000.0,9.1,65.0,105.0,1080,65.0
88,Cannon Ball (roller coaster),Lake Winnepesaukah,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,2 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,John C. Allen,1967,40.2864,-76.6531,Wood,1967-01-01,50.0,91.9,0,4.0,2272.0,48.0,8540000.0,9.1,45.0,92.0,1080,70.0
89,Dahlonega Mine Train,Six Flags Over Georgia,Operating,Arrow Dynamics,Mine Train,Three chain lift hills,5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Unknown,1967,33.7676,-84.5519,Steel,1967-06-16,29.0,91.9,0,4.0,2327.0,42.0,8540000.0,9.1,45.0,171.0,2200,92.0
92,Cedar Creek Mine Ride,Cedar Point,Operating,Arrow Development,Mine Train,Two Chain lift hills,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Ron Toomer,1969,41.4847,-82.6904,Steel,1969-05-24,42.0,91.9,0,4.0,2540.0,48.0,8540000.0,9.1,65.0,170.0,2400,92.0
94,Serpent (roller coaster),Six Flags AstroWorld,Removed,Arrow Dynamics,Mine Train,Chain lift hill,Unknown,Unknown,1969,29.676,-95.407,Steel,1969-01-01,14.0,91.9,0,4.0,810.0,36.0,8540000.0,9.1,65.0,89.0,500,92.0
95,Daidarasaurus,Expoland,Removed,Sansei Technologies,Unknown,Two chain lift hills,Unknown,Unknown,1970,34.8044,135.5359,Steel,1970-01-01,44.7,91.9,0,4.0,7680.0,48.0,8540000.0,9.1,65.0,393.0,1080,92.0
97,Jet Star (Casino Pier),Casino Pier,Removed,Anton Schwarzkopf,Jet Star,Unknown,Unknown,Unknown,1970,39.9426,-74.0692,Steel,1970-01-01,31.1,91.9,0,4.0,1765.1,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
98,Wildcat (Jolly Roger Amusement Park),Other,Unknown,Anton Schwarzkopf,Wildcat/65m,Chain lift,Unknown,Unknown,1970,40.2864,-76.6531,Steel,Unknown,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
99,Gold Rusher,Six Flags Magic Mountain,Operating,Arrow Development,Mine Train,Chain lift hill,4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Ron Toomer,1971,34.424,-118.5985,Steel,1971-05-29,35.0,91.9,0,3.4,2590.0,48.0,1200000.0,9.1,3.0,150.0,1750,35.0
100,Magic Flyer (roller coaster),Other,Unknown,Bradley and Kaye,Little Dipper,Chain lift hill,Single train with 3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Chance Rides,1971,40.2864,-76.6531,Steel,Unknown,10.0,91.9,0,2.1,350.0,48.0,8540000.0,9.1,1.0,30.0,360,92.0
101,River King Mine Train,Six Flags St. Louis,Operating,Arrow Dynamics,Mine Train,Unknown,5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Unknown,1971,38.5155,-90.6738,Steel,1971-06-05,37.0,91.9,0,4.0,2500.0,42.0,8540000.0,9.1,65.0,180.0,1800,41.0
102,Excalibur (Six Flags AstroWorld),Six Flags AstroWorld,Removed,Arrow Dynamics,Mine Train,Chain lift hill,2 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Unknown,1972,29.675,-95.407,Steel,1972-01-01,46.0,91.9,0,4.0,2637.0,48.0,8540000.0,9.1,65.0,171.0,1080,80.0
103,Fire in the Hole (Silver Dollar City),Silver Dollar City,Operating,Herschend Family Entertainment,Unknown,"Trains are powered, propelling themselves on uphill sections. Trains then freely roll over drops. Tires embedded in the track also move trains through certain sections.",2 cars. Riders are arranged 2 across in 3 rows for a total of 12 riders per train.,Herschend Enterprises,1972,36.6703,-93.3407,Steel,1972-01-01,27.0,91.9,0,4.0,1380.0,36.0,8540000.0,9.1,65.0,195.0,1000,20.0
104,Jumbo Jet (Cedar Point),Other,Unknown,Anton Schwarzkopf,Jet Star 3 / Jumbo Jet,Electric spiral lift,Unknown,Werner Stengel,1972,40.2864,-76.6531,Steel,Unknown,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
105,The Racer (Kings Island),Other,Operating,Philadelphia Toboggan Coasters,Unknown,Chain,4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,John C. Allen,1972,39.3437,-84.2647,Wood,1972-04-29,53.0,91.9,0,4.0,3415.0,48.0,1200000.0,9.1,45.0,120.0,2640,82.17
106,Rock n' Roller Coaster (Opryland),Other,Unknown,Arrow Development,Mine Train,Chain lift hill,Unknown,Unknown,1972,40.2864,-76.6531,Steel,Unknown,45.0,91.9,0,4.0,2000.0,42.0,8540000.0,9.1,65.0,150.0,1080,92.0
107,Scooby-Doo (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,Unknown,Chain lift hill,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,John C. Allen,1972,39.3432,-84.2693,Wood,1972-01-01,35.0,91.9,0,4.0,1350.0,40.0,8540000.0,9.1,65.0,90.0,1200,30.0
108,Toboggan (Hersheypark),Hersheypark,Removed,Chance Rides,Toboggan,Vertical chain lift hill,Unknown,Chance Rides,1972,40.2866,-76.6561,Steel,1972-01-01,49.7,91.9,0,4.0,450.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
109,Carolina Goldrusher,Carowinds,Operating,Arrow Dynamics,Mine Train,Two chain lift hills,Unknown,Ron Toomer,1973,40.2864,-76.6531,Steel,1973-03-31,30.0,91.9,0,2.4,2397.0,48.0,8540000.0,9.1,65.0,137.0,2000,34.0
110,Great American Scream Machine (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Philadelphia Toboggan Coasters,Unknown,Chain Lift,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,"Don Rosser, John C. Allen, William Cobb",1973,33.7658,-84.5514,Wood,1973-03-31,57.0,91.9,0,3.7,3800.0,42.0,8540000.0,9.1,45.0,120.0,1200,89.0
111,Schussboomer,Worlds of Fun,Removed,Anton Schwarzkopf,Wildcat - 54m,Unknown,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Werner Stengel,1973,39.1773,-94.489,Steel,1973-05-26,49.7,91.9,0,4.0,1509.2,48.0,8540000.0,9.1,65.0,105.0,900,92.0
112,Big Fury,Six Flags Great Adventure,Removed,Pinfari,Z64,Unknown,Unknown,Pinfari,1974,40.138,-74.441,Steel,1974-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
113,Mini-Comet,Hersheypark,Removed,B.A. Schiff & Associates,Trailer,Chain lift hill,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,Ben Schiff,1974,40.288,-76.657,Steel,1974-05-10,49.7,15.0,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,8.0
115,Scooby-Doo (Kings Dominion),Kings Dominion,Operating,Philadelphia Toboggan Coasters,Unknown,Unknown,2 trains with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,John C. Allen,1974,37.8405,-77.4422,Wood,1974-01-01,35.0,91.9,0,4.0,1385.0,40.0,8540000.0,9.1,65.0,100.0,1200,30.0
116,Trailblazer (roller coaster),Hersheypark,Operating,Arrow Development,Mine train,Chain lift hill,Unknown,Unknown,1974,40.2892,-76.6535,Steel,1974-05-14,35.0,91.9,0,4.0,1600.0,36.0,8540000.0,9.1,65.0,75.0,1125,92.0
117,Corkscrew (Knott's Berry Farm),Other,Unknown,Arrow Development,Corkscrew,Chain lift hill,Unknown,Ron Toomer,1975,40.2864,-76.6531,Steel,Unknown,46.0,91.9,2,4.0,1250.0,48.0,8540000.0,9.1,65.0,75.0,600,62.0
118,Glissade (roller coaster),Busch Gardens Williamsburg,Removed,Anton Schwarzkopf,Jet Star 3 / Jumbo Jet,Electric Spiral Lift,Unknown,Unknown,1975,37.235,-76.644,Steel,1975-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
119,Racer 75,Other,Operating,Philadelphia Toboggan Coasters,Unknown,Chain,4 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,John C. Allen,1975,37.8371,-77.4449,Wood,1975-05-03,56.0,91.9,0,4.2,3368.5,48.0,8540000.0,9.1,50.0,135.0,1200,81.0
120,Rockin' Roller,Six Flags St. Louis,Removed,Bradley and Kaye,Junior Coaster,Chain lift hill,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Unknown,1975,38.5128,-90.675,Steel,1975-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
121,Scooby-Doo (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,144a,Chain Lift,Unknown,John C. Allen,1975,35.101,-80.9394,Wood,1975-01-01,36.0,91.9,0,4.0,1356.0,40.0,8540000.0,9.1,65.0,60.0,1250,35.0
122,Space Mountain (Magic Kingdom),Other,Operating,Arrow Development,Special Coaster Systems,Unknown,30 trains with 2 cars. Riders are arranged 1 across in 3 rows for a total of 6 riders per train.,WED Enterprises,1975,28.4192,-81.5772,Steel,1975-01-15,27.0,91.9,0,3.7,3196.0,44.0,8540000.0,9.1,65.0,150.0,1080,26.0
123,Wabash Cannonball (roller coaster),Opryland USA,Removed,Arrow Development,Steel Corkscrew coaster,Chain lift hill,Unknown,Ron Toomer,1975,36.2089,-86.6984,Steel,1975-01-01,50.0,91.9,2,4.0,1250.0,48.0,8540000.0,9.1,65.0,70.0,480,92.0
124,Alpen Blitz,Six Flags Great Adventure,Removed,Anton Schwarzkopf,Alpenblitz II,Unknown,Unknown,Werner Stengel,1976,40.1371,-74.4411,Steel,1976-01-01,10.0,91.9,0,1.0,1800.0,44.0,8540000.0,9.1,65.0,22.0,1080,2.0
